,Model,Feature,Full Data,Q1/Q2,Q2/Q3,Q1,Q2,Q3,Q4
0,Logistic Regression,review score,0.11,0.11,0.1,0.13,0.1,0.11,0.09
1,Logistic Regression,review score bins,0.46,0.49,0.46,0.48,0.51,0.46,0.46
2,Logistic Regression,price,0.06,0.12,0.09,0.19,0.17,0.13,0.09
3,Logistic Regression,price bins,0.45,0.63,0.57,0.0,0.0,0.0,0.0
4,Random Forest,review score,0.09,0.09,0.11,0.12,0.13,0.06,0.1
5,Random Forest,review score bins,0.47,0.49,0.54,0.52,0.51,0.47,0.45
6,Random Forest,price,0.08,0.12,0.13,0.18,0.18,0.15,0.09
7,Random Forest,price bins,0.49,0.68,0.62,1.0,1.0,1.0,1.0
8,Naive Bayes - Multinomial,review score,0.09,0.14,0.11,0.12,0.14,0.09,0.11
9,Naive Bayes - Multinomial,review score bins,0.5,0.52,0.54,0.51,0.56,0.46,0.46
10,Naive Bayes - Multinomial,price,0.08,0.1,0.12,0.2,0.21,0.15,0.09
11,Naive Bayes - Multinomial,price bins,0.49,0.69,0.59,1.0,1.0,1.0,1.0
12,Naive Bayes - Bernoulli,review score,0.08,0.13,0.13,0.12,0.14,0.08,0.13
13,Naive Bayes - Bernoulli,review score bins,0.49,0.5,0.53,0.51,0.51,0.46,0.48
14,Naive Bayes - Bernoulli,price,0.06,0.07,0.12,0.17,0.16,0.15,0.07
15,Naive Bayes - Bernoulli,price bins,0.5,0.7,0.58,1.0,1.0,1.0,1.0
