Year,Rainfall - (MM),Temperature - (Celsius),country
1970,52.83544166666666,6.706761666666666,USA
1971,54.00642500000001,6.315507499999999,USA
1972,55.37098333333333,6.309428333333334,USA
1973,60.52113333333333,6.887528333333333,USA
1974,53.77514166666666,6.713616666666667,USA
1975,57.845058333333334,6.3023825,USA
1976,47.51083333333333,6.650061666666667,USA
1977,54.32838333333333,7.308983333333333,USA
1978,53.976225,6.927931666666666,USA
1979,58.355108333333334,6.688906666666667,USA
1980,51.57109166666667,7.155950833333333,USA
1981,54.79709166666666,7.8607016666666665,USA
1982,60.97601666666666,6.478369166666668,USA
1983,60.59684999999999,6.971061666666667,USA
1984,55.44433333333333,6.770079999999999,USA
1985,55.136608333333335,6.578420833333333,USA
1986,56.68379999999999,7.541756666666665,USA
1987,52.63026666666667,7.718058333333335,USA
1988,47.87630000000001,7.334408333333333,USA
1989,54.37875833333334,6.8528025,USA
1990,59.23868333333334,7.451195833333334,USA
1991,56.847175,7.565831666666665,USA
1992,56.48325,7.069145833333334,USA
1993,58.93289999999999,7.0963233333333315,USA
1994,55.54881666666666,7.376862499999998,USA
1995,56.57056666666666,7.483878333333334,USA
1996,58.42580833333333,6.730626666666667,USA
1997,55.71192500000001,7.090644166666666,USA
1998,59.97515833333333,8.0975725,USA
1999,51.95518333333333,7.286505833333333,USA
2000,52.32755,7.496298333333333,USA
2001,52.536316666666664,7.633218333333332,USA
2002,52.2241,7.794915,USA
2003,54.82019166666666,7.729782499999999,USA
2004,58.25925833333333,7.713543333333334,USA
2005,54.7526,7.931033333333333,USA
2006,53.844950000000004,7.971669166666668,USA
2007,51.98381666666666,7.8793799999999985,USA
2008,55.84654166666666,6.990187499999998,USA
2009,56.327816666666656,7.167374999999999,USA
2010,55.43608333333333,7.591250000000001,USA
2011,56.06388333333334,7.548140000000001,USA
2012,52.15591666666668,8.173909166666666,USA
2013,58.49023333333333,7.329438333333333,USA
2014,57.031949999999995,7.78237,USA
2015,63.465908333333324,8.481253333333333,USA
2016,57.063925000000005,9.030836666666668,USA
