,0,weights
11,finish,0.04124588487779861
45,whiskey,0.04048642102679013
41,sweet,0.03549289727218984
24,nose,0.033893382660505525
44,vanilla,0.03247023886338025
25,notes,0.029810367610697077
30,palate,0.029527395563835376
26,oak,0.029196226972181483
14,fruit,0.025965834086362657
20,light,0.025069645389065018
46,whisky,0.02475294546001716
38,spice,0.023853358631814644
6,corn,0.023534062752502236
34,rye,0.0219597322561018
29,orange,0.02188878085989518
2,caramel,0.02129998949114832
22,malt,0.02051106153704905
3,chocolate,0.0204133113478856
4,cinnamon,0.019608711457551678
21,like,0.019275526549859538
12,flavors,0.01806338346839099
1,bourbon,0.017964696712305776
39,spices,0.017716402065020277
43,toffee,0.017578188887450927
28,one,0.017547597909561372
18,honey,0.01699540395218274
49,years,0.01657332660462383
8,distillery,0.01654921021340484
32,pepper,0.01638460365997294
42,sweetness,0.016216052581187343
27,old,0.016105883227954688
31,peat,0.01606407584133232
47,wood,0.01556653245417161
13,fresh,0.015528803370054974
36,smoke,0.015345838888378547
37,soft,0.015236971411764631
33,rich,0.015130700080195483
48,year,0.014939567837710362
35,sherry,0.014759446707271431
16,grain,0.014541454867173096
40,spicy,0.014493605154549408
7,dark,0.014120075831461118
5,citrus,0.013911271798043112
23,new,0.013829298505536904
15,fruits,0.01362343830100315
0,apple,0.013592401031631042
10,dry,0.01338554580996259
9,dried,0.013365435343483783
17,hint,0.012450923279327519
19,lemon,0.012164089538261985
